player_id,player,pos,nation,born
310,Zack Steffen,GK,USA,1995
311,İlkay Gündoğan,MF,GER,1990
312,Aaron Wan-Bissaka,DF,COD,1997
313,Alex Telles,DF,BRA,1992
314,Amad Diallo,FW,CIV,2002
315,Anthony Elanga,FW,SWE,2002
316,Anthony Martial,FW,FRA,1995
317,Axel Tuanzebe,DF,COD,1997
318,Brandon Williams,DF,ENG,2000
319,Bruno Fernandes,MF,POR,1994
320,Daniel James,FW,WAL,1997
321,David de Gea,GK,ESP,1990
322,Dean Henderson,GK,ENG,1997
323,Donny van de Beek,"MF,FW",NED,1997
324,Edinson Cavani,FW,URU,1987
325,Eric Bailly,DF,CIV,1994
326,Fred,MF,BRA,1993
327,Hannibal Mejbri,MF,TUN,2003
328,Harry Maguire,DF,ENG,1993
329,Juan Mata,"FW,MF",ESP,1988
330,Luke Shaw,DF,ENG,1995
331,Marcus Rashford,FW,ENG,1997
332,Mason Greenwood,FW,ENG,2001
333,Nemanja Matić,MF,SRB,1988
334,Odion Ighalo,FW,NGA,1989
335,Paul Pogba,"MF,FW",FRA,1993
336,Scott McTominay,MF,SCO,1996
337,Shola Shoretire,FW,ENG,2004
338,Timothy Fosu-Mensah,DF,NED,1998
339,Victor Lindelöf,DF,SWE,1994
340,Will Fish,FW,ENG,2003
341,Allan Saint-Maximin,"FW,MF",FRA,1997
342,Andy Carroll,FW,ENG,1989
343,Callum Wilson,FW,ENG,1992
344,Ciaran Clark,DF,IRL,1989
345,DeAndre Yedlin,DF,USA,1993
346,Dwight Gayle,"FW,MF",ENG,1990
347,Elliot Anderson,MF,ENG,2002
348,Emil Krafth,DF,SWE,1994
349,Fabian Schär,DF,SUI,1991
350,Federico Fernández,DF,ARG,1989
351,Isaac Hayden,"MF,DF",JAM,1995
352,Jacob Murphy,"DF,MF",ENG,1995
353,Jamaal Lascelles,DF,ENG,1993
354,Jamal Lewis,DF,NIR,1998
355,Javier Manquillo,DF,ESP,1994
356,Jeff Hendrick,MF,IRL,1992
357,Joelinton,"FW,MF",BRA,1996
358,Jonjo Shelvey,MF,ENG,1992
359,Karl Darlow,GK,WAL,1990
360,Martin Dúbravka,GK,SVK,1989
361,Matt Ritchie,"DF,MF",SCO,1989
362,Matthew Longstaff,MF,ENG,2000
363,Miguel Almirón,"MF,FW",PAR,1994
364,Paul Dummett,DF,WAL,1991
365,Ryan Fraser,"FW,MF",SCO,1994
366,Sean Longstaff,MF,ENG,1997
367,Aaron Ramsdale,GK,ENG,1998
368,Antwoine Hackford,DF,ENG,2004
369,Ben Osborn,"MF,DF",ENG,1994
370,Billy Sharp,FW,ENG,1986
371,Chris Basham,"DF,MF",ENG,1988
372,Daniel Jebbison,FW,CAN,2003
373,David McGoldrick,"FW,MF",IRL,1987
374,Enda Stevens,DF,IRL,1990
375,Ethan Ampadu,"DF,MF",WAL,2000
376,Femi Seriki,MF,ENG,2002
377,George Baldock,DF,GRE,1993
378,Iliman Ndiaye,MF,SEN,2000
379,Jack O'Connell,DF,ENG,1994
380,Jack Robinson,DF,ENG,1993
381,Jayden Bogle,"DF,MF",ENG,2000
382,John Egan,DF,IRL,1992
383,John Fleck,MF,SCO,1991
384,John Lundstram,MF,ENG,1994
385,Kean Bryan,DF,ENG,1996
386,Lys Mousset,"FW,MF",FRA,1996
387,Max Lowe,DF,ENG,1997
388,Oliver Burke,FW,SCO,1997
389,Oliver McBurnie,FW,SCO,1996
390,Oliver Norwood,MF,NIR,1991
391,Phil Jagielka,DF,ENG,1982
392,Rhian Brewster,"FW,MF",ENG,2000
393,Sander Berge,MF,NOR,1998
394,Alex McCarthy,GK,ENG,1989
395,Alexandre Jankewitz,MF,SUI,2001
396,Allan Tchaptchet,DF,FRA,2001
397,Caleb Watts,MF,AUS,2002
398,Che Adams,FW,SCO,1996
399,Dan Nlundulu,"FW,MF",ENG,1999
400,Danny Ings,FW,ENG,1992
401,Fraser Forster,GK,ENG,1988
402,Ibrahima Diallo,MF,FRA,1999
403,Jack Stephens,DF,ENG,1994
404,Jake Vokins,DF,ENG,2000
405,James Ward-Prowse,MF,ENG,1994
406,Jan Bednarek,DF,POL,1996
407,Jannik Vestergaard,DF,DEN,1992
408,Kayne Ramsey,DF,ENG,2000
409,Kyle Walker-Peters,DF,ENG,1997
410,Michael Obafemi,FW,IRL,2000
411,Mohammed Salisu,DF,GHA,1999
412,Moussa Djenepo,MF,MLI,1998
413,Nathan Redmond,"MF,FW",ENG,1994
414,Nathan Tella,"FW,MF",NGA,1999
415,Oriol Romeu,MF,ESP,1991
416,Ryan Bertrand,DF,ENG,1989
417,Shane Long,FW,IRL,1987
418,Stuart Armstrong,MF,SCO,1992
419,William Smallbone,MF,IRL,2000
420,Yan Valery,"DF,MF",TUN,1999
421,Ben Davies,DF,WAL,1993
422,Carlos Vinícius,FW,BRA,1995
423,Dane Scarlett,FW,ENG,2004
424,Davinson Sánchez,DF,COL,1996
425,Dele Alli,MF,ENG,1996
426,Eric Dier,DF,ENG,1994
427,Gareth Bale,FW,WAL,1989
428,Giovani Lo Celso,MF,ARG,1996
429,Harry Kane,FW,ENG,1993
430,Harry Winks,MF,ENG,1996
431,Hugo Lloris,GK,FRA,1986
432,Japhet Tanganga,DF,ENG,1999
433,Joe Rodon,DF,WAL,1997
434,Lucas Moura,"FW,MF",BRA,1992
435,Matt Doherty,DF,IRL,1992
436,Moussa Sissoko,MF,FRA,1989
437,Pierre Højbjerg,MF,DEN,1995
438,Serge Aurier,DF,CIV,1992
439,Sergio Reguilón,DF,ESP,1996
440,Son Heung-min,FW,KOR,1992
441,Steven Bergwijn,"FW,MF",NED,1997
442,Tanguy Ndombele,MF,FRA,1996
443,Toby Alderweireld,DF,BEL,1989
444,Érik Lamela,"FW,MF",ARG,1992
445,Ahmed Hegazi,DF,EGY,1991
446,Ainsley Maitland-Niles,MF,ENG,1997
447,Branislav Ivanović,DF,SRB,1984
448,Callum Robinson,"FW,MF",IRL,1995
449,Charlie Austin,"FW,MF",ENG,1989
450,Conor Gallagher,MF,ENG,2000
451,Conor Townsend,DF,ENG,1993
452,Dara O'Shea,DF,IRL,1999
453,Darnell Furlong,DF,ENG,1995
454,David Button,GK,ENG,1989
455,Filip Krovinović,MF,CRO,1995
456,Grady Diangana,"MF,FW",COD,1998
457,Hal Robson-Kanu,FW,WAL,1989
458,Jake Livermore,MF,ENG,1989
459,Kamil Grosicki,"MF,FW",POL,1988
460,Karlan Grant,"FW,MF",ENG,1997
461,Kieran Gibbs,DF,ENG,1989
462,Kyle Bartley,DF,ENG,1991
463,Kyle Edwards,"MF,FW",ENG,1998
464,Lee Peltier,DF,ENG,1986
465,Matheus Pereira,"MF,FW",BRA,1996
466,Matt Phillips,MF,SCO,1991
467,Mbaye Diagne,FW,SEN,1991
468,Okay Yokuşlu,MF,TUR,1994
469,Rekeem Harper,MF,ENG,2000
470,Robert Snodgrass,"MF,FW",SCO,1987
471,Romaine Sawyers,MF,SKN,1991
472,Sam Field,MF,ENG,1998
473,Sam Johnstone,GK,ENG,1993
474,Semi Ajayi,DF,NGA,1993
475,Aaron Cresswell,DF,ENG,1989
476,Andriy Yarmolenko,"FW,MF",UKR,1989
477,Angelo Ogbonna,DF,ITA,1988
478,Arthur Masuaku,"DF,MF",COD,1993
479,Ben Johnson,"DF,FW",ENG,2000
480,Craig Dawson,DF,ENG,1990
481,Darren Randolph,GK,IRL,1987
482,Declan Rice,MF,ENG,1999
483,Fabián Balbuena,DF,PAR,1991
484,Felipe Anderson,"FW,MF",BRA,1993
485,Issa Diop,DF,FRA,1997
486,Jarrod Bowen,"FW,MF",ENG,1996
487,Jesse Lingard,"MF,FW",ENG,1992
488,Manuel Lanzini,"MF,FW",ARG,1993
489,Mark Noble,MF,ENG,1987
490,Michail Antonio,FW,JAM,1990
491,Pablo Fornals,"FW,MF",ESP,1996
492,Ryan Fredericks,"DF,FW",ENG,1992
493,Saïd Benrahma,"FW,MF",ALG,1995
494,Sébastien Haller,FW,CIV,1994
495,Tomáš Souček,MF,CZE,1995
496,Vladimír Coufal,DF,CZE,1992
497,Łukasz Fabiański,GK,POL,1985
498,Adama Traoré,"FW,MF",ESP,1996
499,Conor Coady,DF,ENG,1993
500,Daniel Podence,"MF,FW",POR,1995
501,Fernando Marçal,"DF,MF",BRA,1989
502,Fábio Silva,FW,POR,2002
503,John Ruddy,GK,ENG,1986
504,Jonny Castro,"MF,DF",ESP,1994
505,João Moutinho,MF,POR,1986
506,Ki-Jana Hoever,"DF,MF",NED,2002
507,Leander Dendoncker,"MF,DF",BEL,1995
508,Max Kilman,DF,ENG,1997
509,Morgan Gibbs-White,"MF,FW",ENG,2000
