season,game_id,team_id,player_id,min_played,goals,assists,penalty_made,penalty_attempted,shots,shots_on_target,yellow_cards,red_cards,touches,tackles,interceptions,blocks,shot_creating_actions,goal_creating_actions,passes_completed,passes_attempted,pass_completion_percent,progressive_passes,carries,progressive_carries,take_ons_attempted,take_ons_successful
2021,18,19607,384,90,0,0,0,1,0,0,1,0,43,0,1,2,1,0,17,33,51.5,3,17,1,3,1
2021,18,19607,388,90,0,0,0,0,0,0,0,0,14,0,0,0,1,0,5,9,55.6,1,7,1,0,0
2021,18,19607,389,23,0,0,0,0,0,0,0,0,15,1,0,0,1,0,4,10,40.0,0,4,0,0,0
2021,18,19607,393,90,0,0,0,0,2,0,0,0,34,1,1,1,0,0,14,21,66.7,2,15,2,1,1
2021,17,50602,289,90,0,0,0,0,1,0,1,0,81,1,1,4,3,0,56,68,82.4,3,34,3,1,1
2021,17,50602,291,90,0,0,0,0,0,0,0,0,39,0,0,0,0,0,33,39,84.6,0,24,0,0,0
2021,17,50602,293,90,0,0,0,0,1,0,0,0,102,2,1,0,1,0,79,92,85.9,11,42,0,1,0
2021,17,50602,294,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,100.0,0,1,0,1,0
2021,17,50602,295,90,1,0,0,0,3,3,1,0,44,1,1,1,4,0,24,31,77.4,2,29,4,3,2
2021,17,50602,296,90,0,0,0,0,0,0,0,0,81,2,0,1,0,0,69,76,90.8,1,43,1,0,0
2021,17,50602,298,90,1,1,1,1,3,3,0,0,96,5,0,2,9,3,62,85,72.9,11,50,6,3,2
2021,17,50602,299,90,0,0,0,0,1,0,0,0,111,3,0,2,0,0,92,98,93.9,2,57,5,3,1
2021,17,50602,301,90,0,0,0,0,0,0,0,0,55,1,0,0,0,0,48,54,88.9,1,40,0,0,0
2021,17,50602,303,90,1,0,0,0,2,1,0,0,62,3,0,0,3,1,47,52,90.4,5,33,3,5,4
2021,17,50602,304,80,0,1,0,0,1,1,0,0,50,1,0,0,4,1,32,38,84.2,4,24,1,2,0
2021,17,50602,306,90,0,0,0,0,1,0,1,0,100,3,1,0,1,0,83,94,88.3,6,42,1,2,2
2021,17,19500,498,90,0,0,0,0,0,0,0,0,61,3,1,2,3,0,24,43,55.8,3,34,8,8,7
2021,17,19500,499,90,0,0,0,0,0,0,0,0,47,1,2,0,1,0,30,40,75.0,0,30,0,1,0
2021,17,19500,500,90,0,1,0,0,2,0,0,0,35,3,0,0,3,2,20,25,80.0,1,21,1,2,1
2021,17,19500,501,7,0,0,0,0,0,0,0,0,6,2,0,0,0,0,4,4,100.0,0,3,0,0,0
2021,17,19500,502,13,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,100.0,0,1,0,0,0
2021,17,19500,505,77,0,0,0,0,0,0,0,0,37,2,0,1,2,0,24,32,75.0,4,20,0,0,0
2021,17,19500,507,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,50.0,0,1,0,0,0
2021,17,19500,514,77,0,0,0,0,2,0,0,0,38,2,1,1,4,0,26,28,92.9,2,23,4,2,1
2021,17,19500,516,90,1,0,0,0,3,1,0,0,30,1,0,0,2,0,13,18,72.2,1,19,2,1,0
2021,17,19500,517,90,0,0,0,0,0,0,0,0,58,3,5,2,0,0,37,44,84.1,6,39,0,4,1
2021,17,19500,518,90,0,0,0,0,0,0,0,0,31,0,0,0,0,0,16,27,59.3,0,16,0,0,0
2021,17,19500,519,90,0,0,0,0,2,0,0,0,64,2,2,2,3,0,46,54,85.2,5,33,0,0,0
2021,17,19500,520,83,0,0,0,0,0,0,0,0,47,3,1,1,0,0,29,36,80.6,1,24,2,4,2
2021,17,19500,524,90,0,0,0,0,1,0,0,0,51,3,3,2,2,0,23,37,62.2,1,21,0,0,0
2021,20,19453,53,74,0,0,0,0,1,0,0,0,13,0,0,0,1,0,6,7,85.7,0,12,1,0,0
2021,20,19453,54,74,0,0,0,0,0,0,0,0,42,0,3,1,2,1,30,35,85.7,7,26,0,0,0
