ngay_thi_dau,gio_bat_dau,home_team,away_team,home_score,away_score,referee,venue,roud,source_url,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Total shots_home,Total shots_away,Shots on target_home,Shots on target_away,Big Chances_home,Big Chances_away,Corner Kicks_home,Corner Kicks_away,Passes_home,Passes_away,Yellow Cards_home,Yellow Cards_away,xG on target (xGOT)_home,xG on target (xGOT)_away,Shots off target_home,Shots off target_away,Blocked Shots_home,Blocked Shots_away,Shots inside the Box_home,Shots inside the Box_away,Shots outside the Box_home,Shots outside the Box_away,Hit the Woodwork_home,Hit the Woodwork_away,Touches in opposition box_home,Touches in opposition box_away,Accurate through passes_home,Accurate through passes_away,Offsides_home,Offsides_away,Free Kicks_home,Free Kicks_away,Long passes_home,Long passes_away,Passes in final third_home,Passes in final third_away,Crosses_home,Crosses_away,Expected assists (xA)_home,Expected assists (xA)_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Tackles_home,Tackles_away,Duels won_home,Duels won_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,Errors leading to shot_home,Errors leading to shot_away,Errors leading to goal_home,Errors leading to goal_away,Goalkeeper Saves_home,Goalkeeper Saves_away,xGOT faced_home,xGOT faced_away,Goals prevented_home,Goals prevented_away,Red Cards_home,Red Cards_away,Headed Goals_home,Headed Goals_away
11.05.2025,22:30,Liverpool,Arsenal,2,2,Taylor A.,Anfield,PREMIER LEAGUE - ROUND 36,,2.56,2.31,44%,56%,14,15,5,7,4.0,4.0,3,1,82%,87%,1.0,3.0,2.78,2.47,8,4,1,4,10.0,11.0,4.0,4.0,0.0,1.0,36.0,36.0,1.0,0.0,3,1,10,13,39%,41%,69%,74%,27%,33%,1.65,1.03,14,9,13,10,63%,60%,36.0,44.0,16.0,16.0,2.0,5.0,2.0,1.0,0.0,0.0,5,3,2.47,2.78,0.47,0.78,0.0,1.0,1.0,2.0
11.05.2025,20:15,Manchester Utd,West Ham,0,2,Gillett J.,Old Trafford,PREMIER LEAGUE - ROUND 36,,2.28,1.56,52%,48%,20,9,5,4,4.0,3.0,8,5,90%,87%,0.0,1.0,1.22,2.56,11,3,4,2,11.0,8.0,9.0,1.0,0.0,0.0,35.0,20.0,1.0,0.0,0,2,13,3,71%,35%,85%,74%,32%,20%,1.33,0.62,17,13,3,13,50%,65%,47.0,43.0,13.0,20.0,3.0,8.0,2.0,0.0,0.0,0.0,2,5,2.56,1.22,0.56,1.22,,,,
11.05.2025,20:15,Nottingham,Leicester,2,2,Harrington T.,City Ground,PREMIER LEAGUE - ROUND 36,,1.31,1.07,56%,44%,15,10,4,6,4.0,3.0,4,4,85%,79%,3.0,3.0,1.56,2.39,6,4,5,0,9.0,7.0,6.0,3.0,0.0,0.0,17.0,22.0,0.0,0.0,1,2,10,11,58%,33%,75%,56%,30%,33%,0.63,0.49,16,17,11,10,41%,64%,47.0,43.0,22.0,30.0,4.0,8.0,0.0,0.0,0.0,0.0,4,2,2.39,1.56,0.63,-0.44,,,2.0,1.0
11.05.2025,20:15,Tottenham,Crystal Palace,0,2,Kavanagh C.,Tottenham Hotspur Stadium,PREMIER LEAGUE - ROUND 36,,0.68,3.39,47%,53%,8,23,1,10,1.0,8.0,4,8,77%,82%,1.0,1.0,0.02,3.32,2,6,5,7,7.0,17.0,1.0,6.0,0.0,1.0,16.0,35.0,0.0,4.0,2,3,10,12,30%,47%,53%,61%,14%,39%,0.55,2.14,17,15,12,10,57%,47%,49.0,42.0,28.0,16.0,7.0,11.0,0.0,0.0,0.0,0.0,8,1,3.32,0.02,1.32,0.02,,,,
11.05.2025,18:00,Newcastle,Chelsea,2,0,Brooks J.,St. James' Park,PREMIER LEAGUE - ROUND 36,,1.89,0.63,45%,55%,15,10,6,3,1.0,1.0,2,8,84%,87%,4.0,2.0,2.04,0.36,6,3,3,4,14.0,6.0,1.0,4.0,0.0,0.0,39.0,22.0,0.0,0.0,1,0,13,9,51%,44%,76%,80%,50%,13%,1.48,0.45,18,9,9,13,60%,53%,35.0,44.0,28.0,16.0,3.0,4.0,0.0,0.0,0.0,1.0,3,4,0.36,2.04,0.36,0.04,0.0,1.0,,
10.05.2025,23:30,Bournemouth,Aston Villa,0,1,Attwell S.,Vitality Stadium,PREMIER LEAGUE - ROUND 36,,0.29,0.99,66%,34%,10,6,4,3,2.0,2.0,10,0,86%,69%,4.0,5.0,0.44,1.41,3,3,3,0,8.0,4.0,2.0,2.0,0.0,1.0,28.0,15.0,0.0,0.0,2,0,12,19,57%,31%,79%,45%,16%,25%,0.64,0.56,14,17,19,12,50%,62%,46.0,48.0,34.0,22.0,3.0,5.0,0.0,0.0,1.0,0.0,2,4,1.41,0.44,0.41,0.44,0.0,1.0,,
10.05.2025,21:00,Fulham,Everton,1,3,England D.,Craven Cottage,PREMIER LEAGUE - ROUND 36,,0.96,1.05,64%,36%,18,11,6,7,1.0,3.0,5,5,86%,78%,1.0,0.0,1.27,1.23,8,1,4,3,10.0,9.0,8.0,2.0,0.0,0.0,33.0,19.0,0.0,0.0,0,0,9,15,55%,45%,76%,55%,26%,35%,0.78,0.73,18,14,15,9,64%,58%,40.0,44.0,29.0,28.0,5.0,14.0,1.0,0.0,1.0,0.0,4,5,1.23,1.27,-1.77,0.27,,,1.0,1.0
10.05.2025,21:00,Ipswich,Brentford,0,1,Barrott S.,Portman Road,PREMIER LEAGUE - ROUND 36,,0.88,1.21,50%,50%,11,15,4,5,1.0,1.0,5,6,81%,85%,2.0,4.0,1.28,1.34,5,4,2,6,5.0,11.0,6.0,4.0,1.0,0.0,14.0,26.0,0.0,0.0,0,0,12,6,36%,46%,65%,74%,20%,19%,0.54,0.9,14,18,6,12,67%,46%,48.0,37.0,30.0,16.0,3.0,5.0,1.0,1.0,0.0,0.0,4,4,1.34,1.28,0.27,1.28,,,0.0,1.0
10.05.2025,21:00,Southampton,Manchester City,0,0,Robinson T.,St. Mary's Stadium,PREMIER LEAGUE - ROUND 36,,0.11,1.89,28%,72%,2,26,0,5,0.0,0.0,1,15,76%,89%,2.0,0.0,0.0,1.06,0,8,2,13,2.0,14.0,0.0,12.0,0.0,1.0,7.0,69.0,0.0,0.0,2,1,8,9,38%,56%,54%,88%,20%,23%,0.46,2.24,8,20,9,8,62%,50%,35.0,45.0,53.0,8.0,9.0,3.0,1.0,0.0,0.0,0.0,5,0,1.06,0.0,1.06,0.0,,,,
10.05.2025,21:00,Wolves,Brighton,0,2,Oliver M.,Molineux Stadium,PREMIER LEAGUE - ROUND 36,,0.92,1.51,56%,44%,10,7,3,2,1.0,2.0,7,4,87%,84%,1.0,1.0,0.62,1.08,5,4,2,1,8.0,3.0,2.0,4.0,0.0,0.0,24.0,16.0,0.0,1.0,0,0,11,8,53%,44%,73%,65%,16%,27%,0.54,0.45,20,14,8,11,65%,60%,47.0,46.0,26.0,30.0,9.0,11.0,0.0,1.0,0.0,0.0,0,3,1.08,0.62,-0.92,0.62,,,,
