,player,pos,nation,born
200,Josh Maja,FW,NGA,1998
201,Josh Onomah,MF,ENG,1997
202,Kenny Tete,"DF,MF",NED,1995
203,Marek Rodák,GK,SVK,1996
204,Mario Lemina,MF,GAB,1993
205,Maxime Le Marchand,DF,FRA,1989
206,Michael Hector,DF,JAM,1992
207,Neeskens Kebano,"FW,MF",COD,1992
208,Ola Aina,DF,NGA,1996
209,Ruben Loftus-Cheek,"MF,FW",ENG,1996
210,Terence Kongolo,DF,NED,1994
211,Tim Ream,DF,USA,1987
212,Tom Cairney,MF,SCO,1991
213,Tosin Adarabioyo,DF,ENG,1997
214,Tyrese Francois,DF,AUS,2000
215,Diego Llorente,DF,ESP,1993
216,Ezgjan Alioski,"DF,MF",MKD,1992
217,Gaetano Berardi,DF,SUI,1988
218,Hélder Costa,"MF,FW",ANG,1994
219,Ian Poveda,MF,ENG,2000
220,Illan Meslier,GK,FRA,2000
221,Jack Harrison,"MF,FW",ENG,1996
222,Jamie Shackleton,"MF,DF",ENG,1999
223,Kalvin Phillips,MF,ENG,1995
224,Kiko Casilla,GK,ESP,1986
225,Leif Davis,DF,ENG,2000
226,Liam Cooper,DF,SCO,1991
227,Luke Ayling,DF,ENG,1991
228,Mateusz Klich,MF,POL,1990
229,Niall Huggins,DF,WAL,2000
230,Pablo Hernández,MF,ESP,1985
231,Pascal Struijk,"DF,MF",NED,1999
232,Patrick Bamford,FW,ENG,1993
233,Raphinha,"MF,FW",BRA,1996
234,Robin Koch,"DF,MF",GER,1996
235,Rodrigo,"MF,FW",ESP,1991
236,Stuart Dallas,"MF,DF",NIR,1991
237,Tyler Roberts,"MF,FW",WAL,1999
238,Ayoze Pérez,"MF,FW",ESP,1993
239,Cengiz Ünder,"FW,MF",TUR,1997
240,Christian Fuchs,DF,AUT,1986
241,Daniel Amartey,DF,GHA,1994
242,Demarai Gray,FW,JAM,1996
243,Dennis Praet,MF,BEL,1994
244,Hamza Choudhury,MF,BAN,1997
245,Harvey Barnes,"FW,MF",ENG,1997
246,Islam Slimani,FW,ALG,1988
247,James Justin,DF,ENG,1998
248,James Maddison,MF,ENG,1996
249,Jamie Vardy,FW,ENG,1987
250,Jonny Evans,DF,NIR,1988
251,Kasper Schmeichel,GK,DEN,1986
252,Kelechi Iheanacho,FW,NGA,1996
253,Khanya Leshabela,MF,RSA,1999
254,Luke Thomas,DF,ENG,2001
255,Marc Albrighton,"DF,FW",ENG,1989
256,Nampalys Mendy,MF,SEN,1992
257,Ricardo Pereira,"DF,FW",POR,1993
259,Timothy Castagne,DF,BEL,1995
260,Wes Morgan,DF,JAM,1984
261,Wesley Fofana,DF,FRA,2000
262,Wilfred Ndidi,"MF,DF",NGA,1996
263,Youri Tielemans,MF,BEL,1997
264,Çağlar Söyüncü,DF,TUR,1996
265,Adrián,GK,ESP,1987
266,Alex Oxlade-Chamberlain,"MF,FW",ENG,1993
267,Alisson,GK,BRA,1992
268,Andrew Robertson,DF,SCO,1994
269,Caoimhín Kelleher,GK,IRL,1998
270,Curtis Jones,MF,ENG,2001
271,Diogo Jota,FW,POR,1996
272,Divock Origi,FW,BEL,1995
273,Fabinho,"DF,MF",BRA,1993
274,Georginio Wijnaldum,MF,NED,1990
275,James Milner,"MF,DF",ENG,1986
276,Joe Gomez,DF,ENG,1997
277,Jordan Henderson,"MF,DF",ENG,1990
278,Joël Matip,DF,CMR,1991
279,Kostas Tsimikas,"DF,FW",GRE,1996
280,Mohamed Salah,FW,EGY,1992
281,Naby Keïta,MF,GUI,1995
282,Nathaniel Phillips,DF,ENG,1997
283,Neco Williams,DF,WAL,2001
284,Ozan Kabak,DF,TUR,2000
285,Rhys Williams,DF,ENG,2001
286,Roberto Firmino,FW,BRA,1991
287,Sadio Mané,FW,SEN,1992
288,Takumi Minamino,"MF,FW",JPN,1995
289,Thiago Alcántara,MF,ESP,1991
290,Trent Alexander-Arnold,DF,ENG,1998
291,Virgil van Dijk,DF,NED,1991
292,Xherdan Shaqiri,"MF,FW",SUI,1991
293,Aymeric Laporte,DF,ESP,1994
294,Benjamin Mendy,DF,FRA,1994
295,Bernardo Silva,"MF,FW",POR,1994
296,Ederson,GK,BRA,1993
297,Eric García,DF,ESP,2001
298,Fernandinho,MF,BRA,1985
299,Ferrán Torres,"FW,MF",ESP,2000
300,Gabriel Jesus,FW,BRA,1997
301,John Stones,DF,ENG,1994
302,João Cancelo,"DF,MF",POR,1994
303,Kevin De Bruyne,MF,BEL,1991
304,Kyle Walker,DF,ENG,1990
305,Liam Delap,FW,ENG,2003
306,Nathan Aké,DF,NED,1995
307,Oleksandr Zinchenko,DF,UKR,1996
308,Phil Foden,"FW,MF",ENG,2000
309,Raheem Sterling,FW,ENG,1994
310,Riyad Mahrez,FW,ALG,1991
311,Rodri,MF,ESP,1996
312,Rúben Dias,DF,POR,1997
